Title,Genre,Rating,Gross,Director,Star1,Star2,Star3,Star4,,,,,
Once Upon a Time in Mumbaai,"
Action, Crime, Drama            ",7.4,NA,Milan Luthria,Ajay Devgn,Emraan Hashmi,Kangana Ranaut,Prachi Desai,,,,,
,,,,,,,,,,,,,
Peepli (Live),"
Comedy, Drama            ",7.4,$0.75M,Anusha Rizvi,Mahmood Farooqui,Omkar Das Manikpuri,Raghuvir Yadav,Shalini Vatsa,,,,,
,,,,,,,,,,,,,
Phas Gaye Re Obama,"
Comedy, Crime, Drama            ",7.5,NA,Subhash Kapoor,Rajat Kapoor,Neha Dhupia,Sanjay Mishra,Manu Rishi Chadha,,,,,
,,,,,,,,,,,,,
Prince,"
Action, Thriller            ",4.1,NA,Kookie Gulati,Vivek Oberoi,Isaiah,Aruna Shields,Nandana Sen,,,,,
,,,,,,,,,,,,,
Pyaar Impossible!,"
Comedy, Romance            ",4.6,NA,Jugal Hansraj,Priyanka Chopra,Anupam Kher,Uday Chopra,Jugal Hansraj,,,,,
,,,,,,,,,,,,,
Rakhta Charitra,"
Action, Biography, Crime            ",7.6,NA,Ram Gopal Varma,Vivek Oberoi,Shatrughan Sinha,Sudeep,Abhimanyu Singh,,,,,
,,,,,,,,,,,,,
Rakhta Charitra 2,"
Action, Biography, Crime            ",6.4,NA,Ram Gopal Varma,Shatrughan Sinha,Vivek Oberoi,Suriya,Sudeep,,,,,
,,,,,,,,,,,,,
Rann,"
Drama, Mystery, Thriller            ",6.9,NA,Ram Gopal Varma,Amitabh Bachchan,Riteish Deshmukh,Gul Panag,Paresh Rawal,,,,,
,,,,,,,,,,,,,
Teen Patti,"
Crime, Drama, Thriller            ",4.1,NA,Leena Yadav,Amitabh Bachchan,Madhavan,Shraddha Kapoor,Akkash Basnet,,,,,
,,,,,,,,,,,,,
Toonpur Ka Superrhero,"
Animation, Action, Adventure            ",4.2,NA,Kireet Khurana,Ajay Devgn,Kajol,Ameya Pandya,Chinky Jaiswal,,,,,
,,,,,,,,,,,,,
Veer,"
Action, Adventure, Drama            ",4.6,$0.50M,Anil Sharma,Salman Khan,Jackie Shroff,Mithun Chakraborty,Zareen Khan,,,,,
,,,,,,,,,,,,,
Aarakshan,"
Drama            ",6.2,$0.34M,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee,Deepika Padukone,,,,,
,,,,,,,,,,,,,
Ready,"
Action, Comedy            ",4.7,$0.78M,Anees Bazmee,Salman Khan,Asin,Paresh Rawal,Mahesh Manjrekar,,,,,
,,,,,,,,,,,,,
Chalo Dilli,"
Comedy, Drama            ",6.8,NA,Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta,Akshay Kumar,,,,,
,,,,,,,,,,,,,
Aadukalam,"
Action, Drama, Sport            ",8,NA,Vetrimaaran,Dhanush,Taapsee Pannu,Jayabalan,Kishore Kumar G.,,,,,
,,,,,,,,,,,,,
Aagaah: The Warning,"
Drama, Horror, Thriller            ",3.8,NA,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain,Satish Kaushik,,,,,
,,,,,,,,,,,,,
Angel,"
Action, Drama            ",6.5,NA,Ganesh Acharya,Sumit Arora,Arun,Raakesh Babu,Prem Kishen Dwivedi,,,,,
,,,,,,,,,,,,,
Bbuddah... Hoga Terra Baap,"
Action, Crime, Thriller            ",5.6,NA,Puri Jagannadh,Amitabh Bachchan,Hema Malini,Sonu Sood,Sonal Chauhan,,,,,
,,,,,,,,,,,,,
Bin Bulaye Baraati,"
Action, Comedy, Crime            ",3.9,NA,Chandrakant Singh,Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj,Gulshan Grover,,,,,
,,,,,,,,,,,,,
Bodyguard,"
Action, Comedy, Romance            ",4.6,NA,Siddique,Salman Khan,Kareena Kapoor,Raj Babbar,Hazel Keech,,,,,
,,,,,,,,,,,,,
Bubble Gum,"
Drama            ",7.3,NA,Sanjivan Lal,Apoorva Arora,Tanvi Azmi,Delzad Hiwale,Sachin Khedekar,,,,,
,,,,,,,,,,,,,
Chala Mussaddi - Office Office,"
Comedy, Drama            ",6.1,NA,Rajiv Mehra,Deven Bhojani,Makrand Deshpande,Vinay Jain,Farida Jalal,,,,,
,,,,,,,,,,,,,
Chatur Singh Two Star,"
Action, Adventure, Comedy            ",1.7,NA,Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher,Satish Kaushik,,,,,
,,,,,,,,,,,,,
Chillar Party,"
Comedy, Drama, Family            ",7.4,$0.01M,Vikas Bahl,Nitesh Tiwari,Aarav Khanna,Chinmay Chandraunshuh,Divji Handa,,,,,
,,,,,,,,,,,,,
Damadamm!,"
Comedy, Drama, Romance            ",4.1,NA,Swapna Joshi,Himesh Reshammiya,Sonal Sehgal,Purbi Joshi,Rajesh Khattar,,,,,
,,,,,,,,,,,,,
Delhi Belly,"
Action, Comedy, Crime            ",7.5,$1.53M,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das,Kunaal Roy Kapur,,,,,
