Title,Rating,Director,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3
Main Hoon Rajinikanth,7.3,Faisal Saif,Smitha Gondkar,Shakti Kapoor,Sameer Khan,Reema Lagoo,Comedy            ,,
Shaurya: It Takes Courage to Make Right... Right,7.3,Samar Khan,Rahul Bose,Javed Jaffrey,Minissha Lamba,Seema Biswas,Crime,Drama,Thriller            
Manjunath,7.3,Sandeep A. Varma,Anjori Alagh,Karan Ashar,Aarun D. Baliean,Asif Basra,Biography,Drama            ,
Monsoon Wedding,7.3,Mira Nair,Naseeruddin Shah,Lillete Dubey,Shefali Shah,Vijay Raaz,Comedy,Drama,Romance            
Tere Bin Laden,7.2,Abhishek Sharma,Ali Zafar,Pradhuman Singh,Piyush Mishra,Nikhil Ratnaparkhi,Comedy,Drama            ,
Game Over,7.2,Ashwin Saravanan,Taapsee Pannu,Vinodhini Vaidynathan,Parvathi T.,Ramya Subramanian,Drama,Thriller            ,
Meeruthiya Gangsters,7.2,Zeishan Quadri,Jaideep Ahlawat,Aakash Dahiya,Jatin Sarna,Shadab Kamal,Crime            ,,
Paa,7.2,R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,Paresh Rawal,Comedy,Drama            ,
Dhamaal,7.2,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,Javed Jaffrey,Action,Adventure,Comedy            
Shaitan,7.2,Bejoy Nambiar,Kalki Koechlin,Shiv Panditt,Gulshan Devaiah,Rajeev Khandelwal,Action,Crime,Drama            
Pataakha,7.2,Vishal Bhardwaj,Sanya Malhotra,Radhika Madan,Sunil Grover,Vijay Raaz,Action,Comedy,Drama            
13B: Fear Has a New Address,7.2,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,Saranya Ponvannan,Drama,Horror,Mystery            
Halkaa,7.2,Nila Madhab Panda,Paoli Dam,Vipin Katyal,Ranvir Shorey,Tathastu,Drama,Family            ,
404: Error Not Found,7.2,Prawaal Raman,Sara Arjun,Rajvvir Aroraa,Aditya Banerjee,Mukesh Bhatt,Drama,Mystery,Thriller            
Memories in March,7.2,Sanjoy Nag,Deepti Naval,Raima Sen,Rituparno Ghosh,Rajat Ganguly,Drama            ,,
Om Dar-B-Dar,7.2,Kamal Swaroop,Gopi Desai,Manish Gupta,Anita Kanwar,Aditya Lakhia,Drama            ,,
Holiday,7.2,A.R. Murugadoss,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghvan,Action,Thriller            ,
No Smoking,7.2,Anurag Kashyap,John Abraham,Ayesha Takia,Paresh Rawal,Ranvir Shorey,Drama,Mystery,Thriller            
No One Killed Jessica,7.2,Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn,Neil Bhoopalam,Biography,Crime,Drama            
Love Per Square Foot,7.2,Anand Tiwari,Vicky Kaushal,Angira Dhar,Alankrita Sahai,Raghuvir Yadav,Comedy,Romance            ,
Bhool Bhulaiyaa,7.2,Priyadarshan,Akshay Kumar,Vidya Balan,Shiney Ahuja,Ameesha Patel,Comedy,Horror,Mystery            
Bhopal: A Prayer for Rain,7.2,Ravi Kumar,Mischa Barton,Martin Sheen,Kal Penn,Lisa Dwan,Drama            ,,
Akkad Bakkad Bam Be Bo,7.2,Dweep Raj Kochhar,Ramesh Pandey,Nimay Bali,Rakesh Bedi,Lakshman Chaturvedi,Action            ,,
Don 2,7.1,Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra,Action,Crime,Thriller            
3 Storeys,7.1,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,Gopal Das,Drama            ,,
Sulemani Keeda,7.1,Amit Masurkar,Naveen Kasturia,Mayank Tewari,Aditi Vasudev,Karan Mirchandani,Comedy,Romance            ,
Sonu Ke Titu Ki Sweety,7.1,Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar,Alok Nath,Comedy,Romance            ,
Rang Rasiya,7.1,Ketan Mehta,Randeep Hooda,Nandana Sen,Paresh Rawal,Ashish Vidyarthi,Biography,Drama,Romance            
Maharathi,7.1,Shivam Nair,Naseeruddin Shah,Om Puri,Boman Irani,Paresh Rawal,Crime,Drama,Mystery            
X,7.1,Jesper Skouboelling,Dennis Bjerking,Alexandria Eissinger,Kirstine Natalie Friis,Jesper Livid Helles,Short,Drama            ,
Soundtrack,7.1,Neerav Ghosh,Rajeev Khandelwal,Soha Ali Khan,Mrinalini Sharma,Mohan Kapoor,Drama,Musical            ,
Khichdi: The Movie,7.1,Aatish Kapadia,Supriya Pathak,Anang Desai,Rajeev Mehta,Nimisha Vakharia,Comedy,Family            ,
Shootout at Lokhandwala,7.1,Apoorva Lakhia,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,Arbaaz Khan,Action,Crime            ,
Table No.21,7.1,Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai,Dhruv Ganesh,Adventure,Thriller            ,
Chhodo Kal Ki Baatein,7.1,Pramod Joshi,Barkha Bisht,Balaji Iyer,Raghavendra Kadkol,Sachin Khedekar,Drama            ,,
Dil Toh Deewana Hai,7.1,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj,Raja Bundela,Drama,Romance            ,
Saare Jahaan Se Mehnga...,7.1,Anshul Sharma,Vishwa Mohan Badola,Ranjan Chhabra,Zakir Hussain,Sanjay Mishra,Comedy,Drama            ,
Rab Ne Bana Di Jodi,7.1,Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina,Comedy,Drama,Music            
Once Upon a Time in Bihar,7.1,Nitin Chandra,Kranti Prakash Jha,Pankaj Jha,Ajay Kumar,Aarti Puri,Thriller            ,,
Namastey London,7.1,Vipul Amrutlal Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor,Clive Standen,Comedy,Drama,Romance            
Enthiran,7.1,S. Shankar,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,Santhanam,Action,Sci-Fi            ,
Luck by Chance,7.0,Zoya Akhtar,Farhan Akhtar,Konkona Sen Sharma,Rishi Kapoor,Dimple Kapadia,Drama            ,,
Striker,7.0,Chandan Arora,Siddharth,Ankur Vikal,Anupam Kher,Vidya Malvade,Action,Crime,Drama            
Pareshaan Parinda,7.0,Devesh Pratap Singh,Meeraj Shah,Sakshi Singh,Avtar Singh Bhullar,Sadia Nabila,Action,Romance            ,
Qarib Qarib Singlle,7.0,Tanuja Chandra,Irrfan Khan,Parvathy Thiruvothu,Bajrangbali Singh,Anud Singh Dhaka,Comedy,Romance            ,
Dil Dosti Etc,7.0,Manish Tiwary,Imaaduddin Shah,Shreyas Talpade,Smriti Mishra,Nikita Anand,Comedy,Crime,Drama            
Baa Baaa Black Sheep,7.0,Vishwas Paandya,Anupam Kher,Annu Kapoor,Manish Paul,Kay Kay Menon,Action,Comedy,Crime            
Chauhar,7.0,Raghubeer Singh,Richa Dixit,Vivek Jha,Amar Jyoti,Amit Kashyap,Drama            ,,
Aakrosh,7.0,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu,Paresh Rawal,Action,Crime,Thriller            
Tumhari Sulu,7.0,Suresh Triveni,Vidya Balan,Manav Kaul,Neha Dhupia,Vijay Maurya,Comedy,Drama            ,
The Hangman,7.0,Vishal Bhandari,Om Puri,Gulshan Grover,Tom Alter,Smita Jaykar,Crime,Drama,Thriller            
Beyond the Clouds,7.0,Majid Majidi,Ishaan Khattar,Malavika Mohanan,Goutam Ghose,Sharada,Drama,Family            ,
Shubh Mangal Saavdhan,6.9,R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava,Anshul Chauhan,Comedy,Romance            ,
Luckhnowi Ishq,6.9,Aanand Raut,Adhyayan Suman,Karishma Kotak,Mukesh Khanna,Hemant Pandey,Drama            ,,
Mukhbiir,6.9,Mani Shankar,Sammir Dattani,Rahul Dev,Om Puri,Alok Nath,Crime,Drama,Mystery            
Welcome to Sajjanpur,6.9,Shyam Benegal,Shreyas Talpade,Amrita Rao,Ravi Kishan,Ila Arun,Comedy,Drama            ,
Phir Kabhi,6.9,V.K. Prakash,Mithun Chakraborty,Dimple Kapadia,Kaivalya Chheda,Gulshan Grover,Drama,Romance            ,
I Am,6.9,Onir,Juhi Chawla,Rahul Bose,Radhika Apte,Nandita Das,Drama            ,,
Photograph,6.9,Ritesh Batra,Nawazuddin Siddiqui,Sanya Malhotra,Sachin Khedekar,Denzil Smith,Drama,Romance            ,
Fashion,6.9,Madhur Bhandarkar,Priyanka Chopra,Kangana Ranaut,Mugdha Godse,Arbaaz Khan,Drama            ,,
Yeh Khula Aasmaan,6.9,Gitanjali Sinha,Anya Anand,Manjusha Godse,Nitin Kerur,Kishor Nadalskar,Family            ,,
2 States,6.9,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathy,Comedy,Drama,Romance            
Manmarziyaan,6.9,Anurag Kashyap,Taapsee Pannu,Abhishek Bachchan,Vicky Kaushal,Jasmin Bajwa,Romance            ,,
Babumoshai Bandookbaaz,6.9,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami,Shradha Das,Action,Crime,Thriller            
Mohalla Assi,6.9,Chandra Prakash Dwivedi,Sunny Deol,Sakshi Tanwar,Ravi Kishan,Saurabh Shukla,Comedy,Drama            ,
Jannat: In Search of Heaven...,6.9,Kunal Deshmukh,Emraan Hashmi,Sonal Chauhan,Armen Grayg,Shakeel Khan,Crime,Drama,Romance            
War,6.9,Siddharth Anand,Hrithik Roshan,Tiger Shroff,Vaani Kapoor,Ashutosh Rana,Action,Thriller            ,
Fukrey,6.9,Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal,Varun Sharma,Comedy,Drama,Romance            
MSG the Warrior: Lion Heart,6.9,Gurmeet Ram Rahim Singh,Ashok Insan,Bhushan Insan,Charanpreet Insan,Garima Insan,Adventure,Fantasy,Sci-Fi            
Saheb Biwi Aur Gangster Returns,6.8,Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Irrfan Khan,Soha Ali Khan,Action,Crime,Drama            
"Road, Movie",6.8,Dev Benegal,Abhay Deol,Satish Kaushik,Tannishtha Chatterjee,Mohammed Faizal,Adventure,Comedy,Crime            
Love Aaj Kal,6.8,Imtiaz Ali,Saif Ali Khan,Deepika Padukone,Rishi Kapoor,Rahul Khanna,Comedy,Drama,Romance            
Mere Pyare Prime Minister,6.8,Rakeysh Omprakash Mehra,Rasika Agashe,Sonia Albizuri,Syna Anand,Adarsh Bharti,Drama            ,,
W,6.8,Tarun Madan Chopra,Leeza Mangaldas,Lezlie Tripathy,Sonal Giani,Raaj Singh Arora,Crime,Musical,Thriller            
Sarkar Raj,6.8,Ram Gopal Varma,Amitabh Bachchan,Abhishek Bachchan,Aishwarya Rai Bachchan,Ravi Kale,Crime,Drama            ,
New York,6.8,Kabir Khan,John Abraham,Katrina Kaif,Neil Nitin Mukesh,Irrfan Khan,Crime,Drama,Thriller            
Rebellious Flower,6.8,Krishan Hooda,Prince Shah,Shashank Singh,Mantra,Shaneel Sinha,Biography,Drama            ,
Babloo Happy Hai,6.8,Nila Madhab Panda,Sahil Anand,Erica Fernandes,Parvin Dabas,Preet Kamal,Comedy,Drama,Romance            
Strings of Passion,6.8,Sanghamitra Chaudhuri,Zeenat Aman,Indrani Haldar,Avalok Nagpal,Rajesh Sharma,Drama            ,,
Cheeni Kum,6.8,R. Balki,Amitabh Bachchan,Tabu,Paresh Rawal,Zohra Sehgal,Comedy,Romance            ,
Buddha in a Traffic Jam,6.8,Vivek Agnihotri,Aanchal Dwivedi,Mahie Gill,Pallavi Joshi,Anupam Kher,Crime,Thriller            ,
Shamitabh,6.8,R. Balki,Amitabh Bachchan,Dhanush,Akshara Haasan,Abhinaya,Drama            ,,
Rocky Handsome,6.8,Nishikant Kamat,John Abraham,Nishikant Kamat,Sharad Kelkar,Teddy Maurya,Action,Thriller            ,
City of Gold - Mumbai 1982: Ek Ankahee Kahani,6.8,Mahesh Manjrekar,Sachin Khedekar,Seema Biswas,Ankush Chaudhari,Satish Kaushik,Crime,Drama            ,
Angrezi Mein Kehte Hain,6.8,Harish Vyas,Shivani Raghuvanshi,Anshuman Jha,Ekavali Khanna,Sanjay Mishra,Drama            ,,
Hind Ka Napak Ko Jawab,6.8,Honeypreet Insan,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Honeypreet Insan,Aditya Insan,Action,Comedy            ,
Arjun: The Warrior Prince,6.8,Arnab Chaudhuri,Yudhveer Bakoliya,Ashok Banthia,Ravi Khanvilkar,Vijay Kashyap,Animation,Action,Adventure            
MSG 2 the Messenger,6.8,Gurmeet Ram Rahim Singh,Charanpreet Insan,Honeypreet Insan,RooheMeet Insan,Sahil Insan,Comedy,Drama,Fantasy            
Kaala,6.8,Pa. Ranjith,Rajinikanth,Nana Patekar,Easwari Rao,Huma Qureshi,Action,Drama            ,
I Am,6.8,Sonali Gulati,Sonali Gulati,,,,Documentary,Biography,Family            
Notebook,6.8,Nitin Kakkar,Zaheer Iqbal,Pranutan Bahl,Mir Mohammed Mehroos,Mir Mohammed Zayan,Drama,Romance            ,
Barah Aana,6.8,Raja Menon,Naseeruddin Shah,Vijay Raaz,Arjun Mathur,Violante Placido,Comedy,Crime,Drama            
Jal,6.8,Girish Malik,Purab Kohli,Tannishtha Chatterjee,Kirti Kulhari,Mukul Dev,Drama            ,,
Welcome,6.8,Anees Bazmee,Akshay Kumar,Nana Patekar,Anil Kapoor,Mallika Sherawat,Comedy,Romance            ,
Island City,6.8,Ruchika Oberoi,Vinay Pathak,Amruta Subhash,Tannishtha Chatterjee,Chandan Roy Sanyal,Drama            ,,
Hanuman Da' Damdaar,6.8,Ruchi Narain,Salman Khan,Sunny Deol,Raveena Tandon,Javed Akhtar,Animation,Family            ,
Bhoothnath Returns,6.7,Nitesh Tiwari,Amitabh Bachchan,Boman Irani,Parth Bhalerao,Sanjay Mishra,Comedy,Drama,Fantasy            
Children of War,6.7,Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pavan Malhotra,Indraneil Sengupta,Drama,History,War            
Fireflies,6.7,Sabal Singh Shekhawat,Rahul Khanna,Arjun Mathur,Shivani Ghai,Monica Dogra,Drama,Family            ,
Bombay Talkies,6.7,Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap,Rani Mukerji,Drama            ,,
Milta Hai Chance by Chance,6.7,Ramesh Modi,Divyaa Dwivedi,Sana Govil,Jawahar Jairath,Vishal Kaushik,Comedy            ,,
Gold,6.7,Stephen Gaghan,Matthew McConaughey,Edgar Ramírez,Bryce Dallas Howard,Corey Stoll,Crime,Drama            ,
Shor Se Shuruaat,6.7,Amira Bhargava,Rahul V. Chittella,Satish Raj Kasireddi,Pratik Kothari,Arunima Sharma,Drama            ,,
Running Shaadi,6.7,Amit Roy,Arsh Bajwa,Taapsee Pannu,Richa Meena,Amit Sadh,Comedy,Romance            ,
Om Shanti Om,6.7,Farah Khan,Shah Rukh Khan,Deepika Padukone,Arjun Rampal,Kiron Kher,Action,Comedy,Drama            
Quantico,6.7,Priyanka Chopra,Jake McLaughlin,Johanna Braddy,Aunjanue Ellis,,Crime,Drama,Mystery            
Kaavalan,6.7,Siddique,Joseph Vijay,Asin,Raj Kiran,Vadivelu,Action,Drama,Romance            
Chauranga,6.6,Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,Soham Maitra,Drama            ,,
Fast & Furious,6.6,Justin Lin,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,Action,Adventure,Thriller            
Qissa: The Tale of a Lonely Ghost,6.6,Anup Singh,Irrfan Khan,Tisca Chopra,Tillotama Shome,Rasika Dugal,Drama,Fantasy            ,
The Past,6.6,Gagan Puri,Sonia Albizuri,Samiksha Bhatt,Yuvraaj Parashar,Deepti Pujari,Drama,Horror            ,
Mirch,6.6,Vinay Shukla,Arunoday Singh,Raima Sen,Konkona Sen Sharma,Tisca Chopra,Comedy,Drama,Fantasy            
Kajarya,6.6,Madhureeta Anand,Meenu Hooda,Ridhima Sud,Kuldeep Ruhil,Shashi Bhushan,Drama            ,,
Gurgaon,6.6,Shanker Raman,Akshay Oberoi,Pankaj Tripathi,Aamir Bashir,Ragini Khanna,Crime,Thriller            ,
The Silent Heroes,6.6,Mahesh Bhatt,Mann Bagga,Gurfareen Bano,Maanuv Bharadwaj,Tarun Bhargawa,Adventure,Drama,Family            
Go Goa Gone,6.6,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Kunal Khemu,Vir Das,Action,Adventure,Comedy            
Risk,6.6,Vishram Sawant,Vinod Khanna,Randeep Hooda,Tanushree Dutta,Madhuri Bhagwat,Action,Crime,Drama            
Coffee House,6.6,Gurbir Singh Grewal,Ashutosh Rana,Sakshi Tanwar,Neha Mishra,Aman Dhaliwal,Drama            ,,
Hello Zindagi,6.6,Raja Unnithan,Kitu Gidwani,Milind Gunaji,Neena Gupta,Mrunmayee Lagoo,Drama,Family            ,
Toss: A Flip of Destiny,6.6,Ramesh Khatkar,Rannvijay Singh,Prashant Raj,Ashmit Patel,Aarti Chhabria,Crime,Drama,Thriller            
De De Pyaar De,6.6,Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh,Jimmy Sheirgill,Comedy,Romance            ,
Wanted,6.6,Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna,Govind Namdeo,Action,Crime,Thriller            
Laal Kaptaan,6.6,Navdeep Singh,Saif Ali Khan,Sonakshi Sinha,Simone Singh,Henry Douthwaite,Action,Drama            ,
Race,6.6,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna,Bipasha Basu,Action,Crime,Drama            
Anaarkali of Aarah,6.5,Avinash Das,Pankaj Tripathi,Sanjay Mishra,Swara Bhaskar,Mayur More,Drama            ,,
Chhota Bheem and the Curse of Damyaan,6.5,Rajiv Chilaka,Jigna Bhardwaj,Chutki,Kaustav Ghosh,Rajesh Kava,Animation,Adventure,Fantasy            
Fukrey Returns,6.5,Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal,Varun Sharma,Comedy            ,,
Manikarnika: The Queen of Jhansi,6.5,Radha Krishna Jagarlamudi,Kangana Ranaut,Kangana Ranaut,Anil George,Rimi Sen,Action,Biography,Drama            
Riyasat,6.5,Ashok Tyagi,Rajesh Khanna,Aryeman Ramsay,Raza Murad,Aryan Vaid,Crime            ,,
Dostana,6.5,Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra,Kiron Kher,Comedy,Drama,Romance            
Romeo Akbar Walter,6.5,Robbie Grewal,John Abraham,Mouni Roy,Jackie Shroff,Anil George,Action,Drama,Thriller            
Khido Khundi,6.5,Rohit Jugraj,Ranjit Bawa,Manav Vij,Mandy Takhar,Elnaaz Norouzi,Drama,Sport            ,
Ankur Arora Murder Case,6.5,Sohail Tatari,Kay Kay Menon,Visshesh Tiwari,Tisca Chopra,Arjun Mathur,Drama,Thriller            ,
Mod,6.5,Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav,Tanvi Azmi,Drama,Romance,Thriller            
Shorts,6.5,Neeraj Ghaywan,Siddharth Gupt,Rohit Pandey,Anirban Roy,Shlok Sharma,Drama            ,,
The Sky Is Pink,6.5,Shonali Bose,Zaira Wasim,Priyanka Chopra,Farhan Akhtar,Rohit Saraf,Drama,Family,Romance            
Traffic Signal,6.5,Madhur Bhandarkar,Kunal Khemu,Neetu Chandra,Upendra Limaye,Ranvir Shorey,Drama            ,,
Chal Chalein,6.5,Ujjwal Singh,Javed Abedi,Anand Abhyankar,Adityansh,Lalit Agarwal,Drama            ,,
Pappu Can't Dance Saala,6.5,Saurabh Shukla,Vinay Pathak,Neha Dhupia,Rajat Kapoor,Brijendra Kala,Comedy,Drama,Romance            
Mission Mangal,6.5,Jagan Shakti,Akshay Kumar,Vidya Balan,Sonakshi Sinha,Taapsee Pannu,Drama,History            ,
Kahin Hai Mera Pyar,6.5,Mahesh Vaijnath Doijode,Manas Das,Eesha Agarwal,Gajendra Chouhan,Sanjay Kapoor,Drama,Musical,Romance            
Monsoon Shootout,6.5,Amit Kumar,Vijay Varma,Nawazuddin Siddiqui,Neeraj Kabi,Geetanjali Thapa,Action,Crime,Drama            
Yeh Ishq Sarfira,6.5,Varun Khanna,Mohamed Abdullah,Naina Aswal,Himesh Choudhary,Rajkumar Kanojia,Action,Thriller            ,
